WorkCellID,RmsVoltage(V),RmsCurrent(A),Power(W),NominalPower,Load
9,240.382,0.492,3.883,0.388,0
9,240.215,0.492,4.147,0.415,0
9,240.205,0.492,4.255,0.425,0
9,240.225,0.492,4.299,0.43,0
9,240.265,0.493,4.318,0.432,0
9,240.215,0.492,4.325,0.432,0
9,240.349,0.491,3.462,0.346,0
9,240.505,0.492,3.975,0.398,0
9,240.662,0.492,4.184,0.418,0
9,240.759,0.492,4.27,0.427,0
9,240.817,0.492,4.306,0.431,0
9,240.809,0.491,4.32,0.432,0
9,240.717,0.492,4.326,0.433,0
9,240.607,0.492,3.885,0.389,0
9,240.466,0.492,4.148,0.415,0
9,240.269,0.491,4.255,0.425,0
9,240.081,0.491,3.607,0.361,0
9,240.036,0.491,4.034,0.403,0
9,240.187,0.492,4.209,0.421,0
9,240.303,0.491,4.28,0.428,0
9,240.419,0.491,3.755,0.376,0
9,240.552,0.49,3.229,0.323,0
9,240.536,0.489,3.879,0.388,0
9,240.451,0.49,4.145,0.414,0
9,240.339,0.49,4.254,0.425,0
9,240.22,0.49,4.299,0.43,0
9,240.19,0.49,4.317,0.432,0
9,240.19,0.491,4.325,0.432,0
12,242.481,2.094,233.826,23.383,0
12,242.404,2.094,229.496,22.95,0
12,242.282,2.091,229.496,22.95,0
12,242.345,2.096,229.496,22.95,0
12,242.308,2.085,229.496,22.95,0
12,242.333,2.09,233.826,23.383,0
12,242.504,2.093,233.826,23.383,0
12,242.602,2.091,229.496,22.95,0
12,242.735,2.095,229.496,22.95,0
12,242.767,2.092,229.496,22.95,0
12,242.965,2.094,233.826,23.383,0
12,242.714,2.088,229.496,22.95,0
12,242.645,2.08,229.496,22.95,0
12,242.43,2.087,229.496,22.95,0
12,242.333,2.092,229.496,22.95,0
12,242.234,2.094,229.496,22.95,0
12,242.426,2.081,229.496,22.95,0
12,242.649,2.087,229.496,22.95,0
12,242.546,2.095,229.496,22.95,0
12,242.688,2.09,229.496,22.95,0
12,242.6,2.092,229.496,22.95,0
12,242.519,2.093,229.496,22.95,0
12,242.582,2.092,229.496,22.95,0
12,242.597,2.096,233.826,23.383,0
12,242.498,2.087,233.826,23.383,0
12,242.396,2.085,229.496,22.95,0
12,242.378,2.09,229.496,22.95,0
12,242.419,2.085,229.496,22.95,0
12,242.467,2.097,229.496,22.95,0
12,242.399,2.087,229.496,22.95,0
12,242.445,2.091,229.496,22.95,0
12,242.612,2.088,229.496,22.95,0
12,242.646,2.084,229.496,22.95,0
12,242.718,2.079,229.496,22.95,0
12,242.871,2.085,233.826,23.383,0
12,242.889,2.097,233.826,23.383,0
12,243.097,2.092,233.826,23.383,0
12,242.997,2.091,229.496,22.95,0
12,242.781,2.082,233.826,23.383,0
12,242.651,2.084,233.826,23.383,0
12,242.515,2.088,229.496,22.95,0
12,242.423,2.088,229.496,22.95,0
12,242.349,2.084,229.496,22.95,0
12,242.362,2.092,229.496,22.95,0
12,242.467,2.096,229.496,22.95,0
12,242.788,2.08,229.496,22.95,0
12,242.694,2.096,229.496,22.95,0
12,242.698,2.099,229.496,22.95,0
12,242.593,2.087,229.496,22.95,0
12,242.621,2.095,229.496,22.95,0
12,242.603,2.091,229.496,22.95,0
12,242.47,2.092,229.496,22.95,0
12,242.642,2.086,233.826,23.383,0
12,242.881,2.088,229.496,22.95,0
12,243.01,2.095,233.826,23.383,0
12,242.943,2.092,233.826,23.383,0
12,242.93,2.094,233.826,23.383,0
12,242.793,2.093,233.826,23.383,0
12,242.477,2.081,233.826,23.383,0
12,242.236,2.091,229.496,22.95,0
12,242.093,2.097,229.496,22.95,0
12,242.035,2.096,229.496,22.95,0
12,242.032,2.095,229.496,22.95,0
12,242.223,2.101,229.496,22.95,0
12,242.43,2.105,229.496,22.95,0
12,242.627,2.095,229.496,22.95,0
12,242.767,2.109,229.496,22.95,0
12,242.828,2.103,229.496,22.95,0
12,242.87,2.11,233.826,23.383,0
12,242.685,2.1,229.496,22.95,0
12,242.492,2.099,229.496,22.95,0
12,242.124,2.11,229.496,22.95,0
12,242.0,2.105,229.496,22.95,0
12,242.036,2.116,229.496,22.95,0
12,242.141,2.113,229.496,22.95,0
12,242.121,2.113,229.496,22.95,0
12,242.173,2.099,229.496,22.95,0
12,242.116,2.094,233.826,23.383,0
12,242.004,2.106,229.496,22.95,0
12,242.148,2.104,229.496,22.95,0
12,242.141,2.1,229.496,22.95,0
12,242.142,2.095,229.496,22.95,0
12,242.233,2.102,233.826,23.383,0
